Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,55787374616320.0,55787374620480.0,29.0,1.659000e-11,
Total,lock,11Q,11Q,6908656570960,6908656571520,0,0.000000e+00,
Total,lock,11Q,11Q,6961852626720,6961852627200,0,0.000000e+00,
Total,lock,11Q,11Q,6961852626880,6961852627200,0,0.000000e+00,
Total,lock,11Q,11Q,6961852626880,6961852627200,0,0.000000e+00,
Total,lock,11Q,11Q,6961852626640,6961852627200,2,1.150000e-12,
Total,lock,11Q,11Q,7001602533440,7001602534080,23,1.316000e-11,
Total,lock,11Q,11Q,7014852502400,7014852503040,4,2.280000e-12,
Total,lock,11Q,11Q,7014852502400,7014852503040,0,0.000000e+00,



