Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,100000,100000,100000,100000,
transmitDuration,00:00:30.198275950,00:00:30.197764275,00:00:30.197192894,00:00:30.196486316,
framesSent,290368038,290363118,290357624,290350830,
framesReceived,290368038,290363118,290357624,290350830,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,2973368709120,2973318328320,2973262069760,2973192499200,
bitsReceived,2973318328320,2973368709120,2973192499200,2973262069760,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,
fecTotalCodewords,644912932,644810356,644711324,644614651,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,
l1BitsSent,3019827595200,3019776427200,3019719289600,3019648632000,
l1BitsReceived,3019776427200,3019827595200,3019648632000,3019719289600,
transceiverTemp,0,0,37,37,
transceiverVoltage,0,0,3.2522000000000002,3.2450999999999999,
minLatency,85899018240,310052,85899018240,324212,
averageLatency,20982673100,310057,20966909107,324216,
maxLatency,85899035855,310072,85899021702,324232,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
